contract_id,gt_classes,pred_classes,tp_classes,fp_classes,fn_classes,runtime_seconds,gt_reentrancy,pred_reentrancy,gt_access_control,pred_access_control,gt_timestamp_dependency,pred_timestamp_dependency,model,skipped_llm,slither_in_scope,confirmed,rejected,total_tokens,error
access_control/FibonacciBalance.sol,access_control,access_control,access_control,,,2.358,0,0,1,1,0,0,gpt-4o-mini,0,access_control,access_control,,875,
access_control/arbitrary_location_write_simple.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4o-mini,1,,,,0,
access_control/incorrect_constructor_name1.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4o-mini,1,,,,0,
access_control/incorrect_constructor_name2.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4o-mini,1,,,,0,
access_control/incorrect_constructor_name3.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4o-mini,1,,,,0,
access_control/mapping_write.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4o-mini,1,,,,0,
access_control/multiowned_vulnerable.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4o-mini,1,,,,0,
access_control/mycontract.sol,access_control,access_control,access_control,,,19.865,0,0,1,1,0,0,gpt-4o-mini,0,access_control,access_control,,600,
access_control/parity_wallet_bug_1.sol,access_control,,,,access_control,0.0,0,0,1,0,0,0,gpt-4o-mini,1,,,,0,
access_control/parity_wallet_bug_2.sol,access_control,access_control,access_control,,,3.114,0,0,1,1,0,0,gpt-4o-mini,0,reentrancy|access_control|timestamp_dependency,access_control,reentrancy|timestamp_dependency,4209,
access_control/phishable.sol,access_control,access_control,access_control,,,2.302,0,0,1,1,0,0,gpt-4o-mini,0,access_control,access_control,,593,
access_control/proxy.sol,access_control,access_control,access_control,,,2.248,0,0,1,1,0,0,gpt-4o-mini,0,access_control,access_control,,599,
access_control/rubixi.sol,access_control,reentrancy,,reentrancy,access_control,2.033,0,1,1,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,1741,
access_control/simple_suicide.sol,access_control,access_control,access_control,,,2.309,0,0,1,1,0,0,gpt-4o-mini,0,access_control,access_control,,572,
access_control/unprotected0.sol,access_control,,,,access_control,0.001,0,0,1,0,0,0,gpt-4o-mini,1,,,,0,
access_control/wallet_02_refund_nosub.sol,access_control,reentrancy,,reentrancy,access_control,2.044,0,1,1,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,744,
access_control/wallet_03_wrong_constructor.sol,access_control,,,,access_control,2.037,0,0,1,0,0,0,gpt-4o-mini,0,reentrancy,,reentrancy,717,
access_control/wallet_04_confused_sign.sol,access_control,,,,access_control,2.037,0,0,1,0,0,0,gpt-4o-mini,0,reentrancy,,reentrancy,729,
reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,reentrancy,reentrancy,reentrancy,,,2.294,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,914,
reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,reentrancy,reentrancy,reentrancy,,,1.995,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,798,
reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,reentrancy,reentrancy,reentrancy,,,2.272,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,916,
reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,reentrancy,reentrancy,reentrancy,,,2.463,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,873,
reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31.sol,reentrancy,reentrancy,reentrancy,,,2.136,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,874,
reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,reentrancy,reentrancy,reentrancy,,,1.855,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,904,
reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,2.589,1,1,0,0,0,1,gpt-4o-mini,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,913,
reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,reentrancy,reentrancy,reentrancy,,,2.032,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,847,
reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,2.643,1,1,0,0,0,1,gpt-4o-mini,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,914,
reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344.sol,reentrancy,reentrancy,reentrancy,,,1.755,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,810,
reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,2.31,1,1,0,0,0,1,gpt-4o-mini,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,919,
reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,reentrancy,reentrancy,reentrancy,,,2.909,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,827,
reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,reentrancy,reentrancy,reentrancy,,,2.678,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,1009,
reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,reentrancy,reentrancy,reentrancy,,,2.048,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,874,
reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,reentrancy,reentrancy,reentrancy,,,2.338,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,805,
reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,reentrancy,reentrancy,reentrancy,,,2.604,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,797,
reentrancy/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,reentrancy,reentrancy,reentrancy,,,2.386,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,809,
reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,reentrancy,reentrancy,reentrancy,,,2.632,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,999,
reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,2.369,1,1,0,0,0,1,gpt-4o-mini,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,912,
reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,2.903,1,1,0,0,0,1,gpt-4o-mini,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,915,
reentrancy/etherbank.sol,reentrancy,reentrancy,reentrancy,,,17.557,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,639,
reentrancy/etherstore.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,3.659,1,1,0,0,0,1,gpt-4o-mini,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,757,
reentrancy/modifier_reentrancy.sol,reentrancy,reentrancy,reentrancy,,,1.817,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,811,
reentrancy/reentrance.sol,reentrancy,reentrancy,reentrancy,,,1.841,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,672,
reentrancy/reentrancy_bonus.sol,reentrancy,,,,reentrancy,0.0,1,0,0,0,0,0,gpt-4o-mini,1,,,,0,
reentrancy/reentrancy_cross_function.sol,reentrancy,,,,reentrancy,0.0,1,0,0,0,0,0,gpt-4o-mini,1,,,,0,
reentrancy/reentrancy_dao.sol,reentrancy,reentrancy,reentrancy,,,2.109,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,645,
reentrancy/reentrancy_insecure.sol,reentrancy,reentrancy,reentrancy,,,2.43,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,627,
reentrancy/reentrancy_simple.sol,reentrancy,reentrancy,reentrancy,,,62.624,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,662,
reentrancy/simple_dao.sol,reentrancy,reentrancy,reentrancy,,,2.308,1,1,0,0,0,0,gpt-4o-mini,0,reentrancy,reentrancy,,625,
reentrancy/spank_chain_payment.sol,reentrancy,,,,reentrancy,0.97,1,0,0,0,0,0,gpt-4o-mini,0,reentrancy|timestamp_dependency,,,0,"Error code: 413 - {'error': {'code': 'tokens_limit_reached', 'message': 'Request body too large for gpt-4o-mini model. Max size: 8000 tokens.', 'details': 'Request body too large for gpt-4o-mini model. Max size: 8000 tokens.'}}"
time_manipulation/ether_lotto.sol,timestamp_dependency,timestamp_dependency,timestamp_dependency,,,2.504,0,0,0,0,1,1,gpt-4o-mini,0,reentrancy|timestamp_dependency,timestamp_dependency,reentrancy,920,
time_manipulation/governmental_survey.sol,timestamp_dependency,reentrancy|timestamp_dependency,timestamp_dependency,reentrancy,,4.2,0,1,0,0,1,1,gpt-4o-mini,0,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,845,
time_manipulation/lottopollo.sol,timestamp_dependency,timestamp_dependency,timestamp_dependency,,,2.223,0,0,0,0,1,1,gpt-4o-mini,0,timestamp_dependency,timestamp_dependency,,694,
time_manipulation/roulette.sol,timestamp_dependency,timestamp_dependency,timestamp_dependency,,,2.082,0,0,0,0,1,1,gpt-4o-mini,0,timestamp_dependency,timestamp_dependency,,652,
time_manipulation/timed_crowdsale.sol,timestamp_dependency,timestamp_dependency,timestamp_dependency,,,2.559,0,0,0,0,1,1,gpt-4o-mini,0,timestamp_dependency,timestamp_dependency,,591,
