contract_id,gt_classes,pred_classes,tp_classes,fp_classes,fn_classes,runtime_seconds,gt_reentrancy,pred_reentrancy,gt_access_control,pred_access_control,gt_timestamp_dependency,pred_timestamp_dependency,model,use_moderator,skipped,reentrancy_spec,access_control_spec,timestamp_dependency_spec,specialist_union,moderator_classes,moderator_error,reentrancy_spec_tokens,access_control_spec_tokens,timestamp_dependency_spec_tokens,moderator_tokens,total_tokens
access_control/FibonacciBalance.sol,access_control,access_control|reentrancy,access_control,reentrancy,,4.587,0,1,1,1,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,721,787,676,1020,3204
access_control/arbitrary_location_write_simple.sol,access_control,timestamp_dependency,,timestamp_dependency,access_control,2.679,0,0,1,0,0,1,gpt-4.1-nano,1,0,,access_control,,access_control,timestamp_dependency,,506,575,510,709,2300
access_control/incorrect_constructor_name1.sol,access_control,access_control,access_control,,,7.24,0,0,1,1,0,0,gpt-4.1-nano,1,0,,access_control,,access_control,access_control,,422,491,426,627,1966
access_control/incorrect_constructor_name2.sol,access_control,reentrancy,,reentrancy,access_control,2.812,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy,,451,467,398,655,1971
access_control/incorrect_constructor_name3.sol,access_control,reentrancy,,reentrancy,access_control,4.87,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy,,450,474,398,658,1980
access_control/mapping_write.sol,access_control,reentrancy,,reentrancy,access_control,2.463,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy,,512,524,457,716,2209
access_control/multiowned_vulnerable.sol,access_control,reentrancy,,reentrancy,access_control,3.393,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy,,694,700,632,906,2932
access_control/mycontract.sol,access_control,reentrancy,,reentrancy,access_control,3.28,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,timestamp_dependency,reentrancy|access_control|timestamp_dependency,reentrancy,,442,451,444,685,2022
access_control/parity_wallet_bug_1.sol,access_control,access_control,access_control,,,3.872,0,0,1,1,0,0,gpt-4.1-nano,1,0,,access_control,,access_control,access_control,,4488,4562,4492,4687,18229
access_control/parity_wallet_bug_2.sol,access_control,access_control|timestamp_dependency,access_control,timestamp_dependency,,4.627,0,0,1,1,0,1,gpt-4.1-nano,1,0,,access_control,timestamp_dependency,access_control|timestamp_dependency,access_control|timestamp_dependency,,3894,3961,4014,4317,16186
access_control/phishable.sol,access_control,access_control|reentrancy,access_control,reentrancy,,3.885,0,1,1,1,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy|access_control,,432,445,379,686,1942
access_control/proxy.sol,access_control,access_control,access_control,,,3.58,0,0,1,1,0,0,gpt-4.1-nano,1,0,,access_control,,access_control,access_control,,383,515,387,642,1927
access_control/rubixi.sol,access_control,access_control,access_control,,,4.309,0,0,1,1,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,timestamp_dependency,reentrancy|access_control|timestamp_dependency,access_control,,1601,1614,1636,1927,6778
access_control/simple_suicide.sol,access_control,access_control,access_control,,,3.313,0,0,1,1,0,0,gpt-4.1-nano,1,0,,access_control,,access_control,access_control,,357,425,361,551,1694
access_control/unprotected0.sol,access_control,access_control,access_control,,,2.608,0,0,1,1,0,0,gpt-4.1-nano,1,0,,access_control,,access_control,access_control,,430,493,434,620,1977
access_control/wallet_02_refund_nosub.sol,access_control,reentrancy,,reentrancy,access_control,2.91,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy,,584,604,538,778,2504
access_control/wallet_03_wrong_constructor.sol,access_control,reentrancy,,reentrancy,access_control,2.638,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy,,551,580,506,752,2389
access_control/wallet_04_confused_sign.sol,access_control,reentrancy,,reentrancy,access_control,2.936,0,1,1,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy,,561,589,511,777,2438
reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,3.797,1,1,0,0,0,1,gpt-4.1-nano,1,0,reentrancy,,timestamp_dependency,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,751,719,758,1005,3233
reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,4.267,1,1,0,0,0,1,gpt-4.1-nano,1,0,reentrancy,,timestamp_dependency,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,634,602,643,887,2766
reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,2.999,1,1,0,0,0,1,gpt-4.1-nano,1,0,reentrancy,,timestamp_dependency,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,756,721,758,1004,3239
reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,reentrancy,reentrancy,reentrancy,,,2.146,1,1,0,0,0,0,gpt-4.1-nano,1,0,reentrancy,,,reentrancy,reentrancy,,712,678,664,855,2909
reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31.sol,reentrancy,reentrancy,reentrancy,,,2.363,1,1,0,0,0,0,gpt-4.1-nano,1,0,reentrancy,,,reentrancy,reentrancy,,713,679,665,859,2916
reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,reentrancy,reentrancy,reentrancy,,,6.177,1,1,0,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,,reentrancy|access_control,reentrancy,,740,985,693,1161,3579
reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,3.342,1,1,0,0,0,1,gpt-4.1-nano,1,0,reentrancy,,timestamp_dependency,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,690,657,695,938,2980
reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,reentrancy,reentrancy,reentrancy,,,2.567,1,1,0,0,0,0,gpt-4.1-nano,1,0,reentrancy,access_control,timestamp_dependency,reentrancy|access_control|timestamp_dependency,reentrancy,,686,711,692,946,3035
reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,4.515,1,1,0,0,0,1,gpt-4.1-nano,1,0,reentrancy,access_control,timestamp_dependency,reentrancy|access_control|timestamp_dependency,reentrancy|timestamp_dependency,,694,890,693,1159,3436
reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344.sol,reentrancy,reentrancy,reentrancy,,,9.686,1,1,0,0,0,0,gpt-4.1-nano,1,0,reentrancy,,,reentrancy,reentrancy,,647,615,601,789,2652
reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,3.451,1,1,0,0,0,1,gpt-4.1-nano,1,0,reentrancy,,timestamp_dependency,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,694,661,693,932,2980
reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,3.233,1,1,0,0,0,1,gpt-4.1-nano,1,0,reentrancy,,timestamp_dependency,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,667,632,668,913,2880
reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,8.481,1,1,0,0,0,1,gpt-4.1-nano,1,0,reentrancy,,timestamp_dependency,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,777,744,784,1035,3340
reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,4.468,1,1,0,0,0,1,gpt-4.1-nano,1,0,reentrancy,,timestamp_dependency,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,710,679,720,977,3086
reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,3.581,1,1,0,0,0,1,gpt-4.1-nano,1,0,reentrancy,,timestamp_dependency,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,642,609,652,900,2803
reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,reentrancy,reentrancy|timestamp_dependency,reentrancy,timestamp_dependency,,3.576,1,1,0,0,0,1,gpt-4.1-nano,1,0,reentrancy,,timestamp_dependency,reentrancy|timestamp_dependency,reentrancy|timestamp_dependency,,637,602,647,901,2787
reentrancy/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,reentrancy,reentrancy,reentrancy,,,2.394,1,1,0,0,0,0,gpt-4.1-nano,1,0,reentrancy,,,reentrancy,reentrancy,,646,614,600,788,2648
